epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.505,4.05755,4.14132,1.98863,0.00132,0.01034,0.00083,0.00026,3.55365,3.91961,1.51139,0.0001,0.0001,0.0001
2,164.049,3.01299,3.47187,1.32412,0.01519,0.06235,0.00827,0.00243,2.97613,3.60782,1.13039,0.000215644,0.000215644,0.000215644
3,222.393,2.75101,2.40649,1.13299,0.03202,0.11101,0.02372,0.00991,2.66261,3.12329,1.13164,0.000326536,0.000326536,0.000326536
4,278.744,2.60664,1.8783,1.07226,0.05608,0.17397,0.0851,0.03545,2.50502,2.77356,1.07411,0.000432676,0.000432676,0.000432676
5,344.705,2.54848,1.77886,1.05808,0.0625,0.13686,0.10215,0.04082,2.41723,2.5775,1.06976,0.000534064,0.000534064,0.000534064
6,427.729,2.57651,1.69014,1.05627,0.07391,0.15511,0.12302,0.04623,2.4244,2.46444,1.06208,0.0006307,0.0006307,0.0006307
7,493.805,2.44633,1.62409,1.02464,0.09583,0.17488,0.15397,0.05791,2.31737,2.22354,1.03804,0.000722584,0.000722584,0.000722584
