epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,264.323,2.76422,2.62101,1.35489,0.04535,0.35584,0.17419,0.06573,2.45107,2.59912,1.08094,0.00064,0.00064,0.00064
2,511.154,2.27936,1.57928,1.09877,0.7364,0.19982,0.29324,0.1166,2.26004,2.17272,1.00955,0.000871,0.000871,0.000871
3,781.633,2.20143,1.43799,1.04369,0.57798,0.28657,0.30424,0.1009,2.38104,1.66424,1.03735,0.0006664,0.0006664,0.0006664
